Galaxy,realization,Inc_nominal_deg,Inc_perturbed_deg,e_Inc_deg,vobs_factor,status,n_shells,n_points,rho0,a_kpc,chi2,chi2_red,bic,r_sh1,M_sh1,sigma_sh1,sigma_over_r1,r_sh2,M_sh2,sigma_sh2,sigma_over_r2
NGC2403,16,63.0,59.68132158526957,3.0,1.0321762013336986,ok,2,73,10991520.160600483,11.277902527233916,55.37696914302667,0.8519533714311796,89.7006446722138,1.024902081693143,1528716317.4567692,0.40503734403711783,0.39519613753539684,4.352634906695839,9431397350.425953,1.1938821694299906,0.2742895269238851
NGC3769,16,70.0,69.82781827866141,2.0,1.0010995021178666,ok,0,11,23021515.69186883,6.5204147948745295,5.63148616298262,0.6257206847758466,10.427276708579361,,,,,,,,
UGC06917,15,56.0,55.48762492964326,2.0,1.0061088779070793,ok,0,11,57347354.1084103,3.644705959176895,1.7513253854321735,0.19459170949246374,6.547115931028915,,,,,,,,
NGC3726,16,53.0,54.05596638631999,2.0,0.9864681686462308,ok,1,12,1275026.35399963,199.99999999999983,5.771870864365772,0.8245529806236817,18.196404113305775,7.232161638666828,15104394113.951479,0.7767598089763692,0.10740354651691061,,,,
NGC3877,16,76.0,76.85755978482247,1.0,0.9963934481971859,ok,0,11,627300014.6862799,1.1932402049153925,7.224877864849084,0.8027642072054538,12.020668410445825,,,,,,,,
NGC3893,16,49.0,50.68754590061085,2.0,0.9754518875691218,ok,0,9,61610104.19777671,5.209936621506556,1.1227024880426884,0.16038606972038405,5.5171516427151275,,,,,,,,
NGC3917,16,79.0,83.96131911658529,2.0,0.987104527113089,ok,0,16,50693198.736185014,4.618190830072766,8.99085141412426,0.6422036724374471,14.53602885860382,,,,,,,,
NGC3972,16,77.0,77.75937094812637,1.0,0.9970369053080285,ok,0,10,68150293.60368535,3.900463397759768,6.320646742345665,0.7900808427932081,10.925816928333756,,,,,,,,
NGC3992,16,56.0,57.082576914852076,2.0,0.9875906588727061,ok,0,9,78889558.88177085,6.882075281014333,5.149382000649626,0.7356260000928038,9.543831155322065,,,,,,,,
NGC3521,16,75.0,79.32656047110345,5.0,0.9829317646511044,ok,1,41,25477795.241036825,10.46894246513505,2.6471458489989357,0.07353182913885932,21.215006182520476,1.0558283187924022,2113395055.4117455,0.4210910537284463,0.3988253073284365,,,,
NGC3953,16,62.0,62.252826870229875,1.0,0.9976689362984478,ok,0,8,150877874.52115354,3.4063455145933133,1.1156057650977802,0.18593429418296337,5.274488848457452,,,,,,,,
NGC0247,16,74.0,78.626432552985,3.0,0.9805168339545677,ok,1,26,7587329.49055028,11.714901203938439,1.3543396636712706,0.06449236493672716,17.644822353778682,2.043271502253117,1829907291.1507292,0.7542680409176021,0.3691472425890882,,,,
NGC4013,16,89.0,87.22614021051413,1.0,1.0010205706832798,ok,1,36,5080390.6257612,22.894650664049944,24.546139257968136,0.7918109438054237,42.46373395024868,0.8836016255385855,12396699282.049187,0.03843716926213023,0.04350056422621615,,,,
NGC4051,16,49.0,53.776507312708006,3.0,0.9355307605497895,ok,0,6,70591269.38484438,2.235829838229476,3.4861479830331934,0.8715369957582983,7.069666921489303,,,,,,,,
NGC4085,16,82.0,83.05367607809272,2.0,0.9975904964745221,ok,0,5,26997191.789337404,6.232643264423754,1.26666139585805,0.42222046528601664,4.4855372207262505,,,,,,,,
NGC4157,16,82.0,89.0,3.0,0.990418914339426,ok,0,15,7860020.599377227,16.989085392512166,2.976253729361629,0.22894259456627916,8.39235413156605,,,,,,,,
NGC4183,16,82.0,82.65316015807112,2.0,0.9984652340437683,ok,0,23,64571927.674706064,3.4368363056137885,8.078199455487503,0.38467616454702397,14.349187887345803,,,,,,,,
F583-1,16,63.0,71.23638583472865,5.0,0.9410181327581105,ok,0,25,22708692.676312003,4.547078617258556,4.893947839835843,0.21278034086242797,11.331699489572244,,,,,,,,
NGC2976,16,61.0,40.702454421751696,10.0,1.3411720468552504,ok,0,27,247473320.7501555,3.002463544312663,8.83336289149868,0.3533345156599472,15.425036623507339,,,,,,,,
NGC5033,16,66.0,66.3724445341338,1.0,0.9971352211802564,ok,0,20,49914212.36012359,7.36004432373149,44.76716226421597,2.4870645702342205,50.75862681132395,,,,,,,,
NGC5371,16,53.0,55.99028081552232,2.0,0.9634387351964705,ok,2,19,603592.543523163,199.99999999999997,14.463317458891154,1.3148470417173777,38.01882929222268,1.5016323605417548,9404639671.27998,0.6006529442167019,0.4,5.192040475004878,13789479393.204945,1.9727670938974757,0.37995988347830095
NGC5055,16,55.0,62.47481019632936,6.0,0.9237087200597743,ok,0,16,5588876.030024351,16.722545365205523,24.868640522895046,1.7763314659210747,30.41381796737461,,,,,,,,
NGC5907,16,88.0,89.0,2.0,0.9995430622688748,ok,1,19,12553073.525432615,13.765499951462353,58.88169596076792,4.205835425769137,73.60389085660012,2.1174205148328378,33769098978.567165,0.2150475173393869,0.10156108143514614,,,,
UGC06446,15,51.0,47.666164986220394,3.0,1.0512861356448175,ok,0,17,134151169.70106833,1.9693341253705128,7.11380687782876,0.4742537918552507,12.780233565941192,,,,,,,,
NGC5585,16,51.0,48.73638326414353,2.0,1.033874479384223,ok,2,24,1278700.6909407412,54.20784686745854,64.84594802023334,4.0528717512645835,90.2703786630169,3.1244217838742077,4524267865.922554,1.0480042550172817,0.3354234247201355,6.376594268005509,7143657904.362175,1.1678697846741501,0.18314945809456998
NGC6015,16,60.0,59.935223283761715,2.0,1.0006537992744309,ok,2,44,12042568.382745352,11.747602883580582,30.75242485688243,0.8542340238022897,61.02594192822852,1.0157008985974993,2406086204.8785744,0.2973737182801474,0.29277685851294133,2.680915792139837,6998915998.58907,0.4573504868197478,0.17059487215549676
NGC5985,16,60.0,58.28362985382387,2.0,1.0180617945486483,ok,2,33,43741623.85343962,10.311284652127753,51.81534408996183,2.0726137635984734,79.78740458169368,0.5345195430958359,26761275888.926846,0.021203647040519524,0.03966860952868443,5.543457806763897,42561591246.03212,1.0436123545244447,0.18826017819619234
NGC6674,16,54.0,43.735578648803696,6.0,1.170230675289723,ok,2,15,19445189.054223206,16.096731490118213,146.19327065207437,20.88475295029634,167.85767226089206,3.7088559696421504,49999999998.94743,0.3513744299778531,0.09473930313119049,2.8365893319720494,49999999998.99041,0.743961980031358,0.262273418166648
NGC6195,16,62.0,60.25787299702103,5.0,1.0169079347059122,ok,1,22,4303859.972548239,30.420187349563516,19.23042138485683,1.1312012579327546,34.68563365164841,2.208830204831909,4817378856.976764,0.14000346115443774,0.06338353253598863,,,,
NGC4100,16,73.0,69.45624792611412,2.0,1.0212517822476255,ok,0,24,144893892.51360694,3.6483002515131018,12.791347347604365,0.5814248794365621,19.147455008300255,,,,,,,,
NGC6946,16,38.0,38.77396511974425,2.0,0.983092772859575,ok,2,55,14273041.15333563,8.788562104199398,19.609350117675277,0.4172202152696867,51.668015599535046,4.2987631842107925,5442881568.784978,0.44273436034897445,0.10299110264438906,11.054690389971915,5532516788.303687,0.17241910528957546,0.015596918521208218
UGCA442,15,64.0,64.4788598114826,7.0,0.9959749262765976,ok,0,8,31722979.906196743,2.848238875265825,3.6824075325980132,0.6137345887663356,7.841290615957685,,,,,,,,
NGC7331,16,75.0,76.07622384051665,2.0,0.9951671100562935,ok,0,28,6910256.914166254,23.923115210459088,12.06422037118344,0.4640084758147477,18.728629391533847,,,,,,,,
NGC7814,16,90.0,88.15557862243912,1.0,1.0005183613266895,ok,1,16,11537473.382025767,17.629455331703213,0.6391219315392049,0.058101993776291355,14.50206554273811,5.6352566749489315,35243388643.93048,1.838755344943885,0.3262948701374899,,,,
UGC00128,16,57.0,49.33923421008127,10.0,1.105578582902528,ok,1,22,8840028.208233949,12.727588441488608,47.76455278915094,2.8096795758324085,63.21976505594252,5.162882711635816,13234963938.554253,2.0651530846543262,0.39999999999999997,,,,
NGC5005,16,68.0,65.52586934912289,2.0,1.0187172113638978,ok,0,15,46617034.12673104,8.735685656715388,0.2690840572477246,0.020698773634440355,5.685184459452144,,,,,,,,
UGC02885,16,64.0,69.40683458808078,4.0,0.9601459322197176,ok,1,19,9093050.41462268,23.077002071339656,10.950841506930539,0.7822029647807528,25.67303640276274,0.2108054676883273,11532515792.326088,0.08414165280565065,0.39914359778396646,,,,
NGC0055,15,77.0,77.16545750660347,3.0,0.9993379130611075,ok,0,21,11661874.548724947,6.802563866457641,9.191501617138425,0.4837632430072855,15.28054649258527,,,,,,,,
UGC02916,16,50.0,50.40746032000386,5.0,0.9940931578860571,ok,1,31,8400543.09069453,13.093911737574938,13.785283326814614,0.5302032048774852,30.955219349240345,7.846992500284909,26711191163.9814,1.2756564360094973,0.16256628714289975,,,,
UGC02953,16,50.0,53.217399166960845,4.0,0.9564637013625868,ok,2,93,18923052.47111452,14.15576989874614,223.9647346963048,2.6348792317212326,260.22553064153084,0.20000000000000004,638225171.4029508,0.08000000000000002,0.4,5.8228542931894935,39313061760.34564,1.4544608925171216,0.24978486825924584
UGC03205,16,67.0,70.10965109675658,4.0,0.9789007380782148,ok,2,46,2500193.2867316785,39.03847542721431,26.071827593530518,0.68610072614554,56.700958765443275,3.281731431687628,27227825493.830498,0.9496589604186583,0.2893774156071927,11.999999999999998,49999999999.99812,4.043944511012007,0.33699537591766726
UGC02259,15,41.0,43.39191508353825,3.0,0.9549830780022566,ok,1,8,281680643.3805258,1.182963344691768,0.9650216249269468,0.3216738749756489,11.362229333326127,11.999999999999853,28467002978.411747,3.6515578337902386,0.3042964861491903,,,,
UGC04499,16,50.0,45.70419015315349,3.0,1.0702774292461155,ok,0,9,46269334.00840673,2.9808068497052282,1.4609503400434776,0.2087071914347825,5.8553994947159165,,,,,,,,
UGC05253,16,37.0,36.517385435313436,4.0,1.01134048887064,ok,2,73,27389395.489995506,10.253590168260384,50.401766523729485,0.7754117926727613,84.7254420529166,1.7595240109204162,1710795336.7367315,0.5641144471248737,0.3206062796663869,11.99639814600866,31718349897.60821,4.798236914462304,0.3999731299397339
UGC04325,16,41.0,39.02493172575104,3.0,1.0419283305493117,ok,0,8,337211944.3774405,1.3728655744157665,2.3709234981620573,0.39515391636034286,6.529806581521729,,,,,,,,
UGC01281,16,90.0,89.0,1.0,1.0001523280439077,ok,0,25,28433643.392620947,3.3074833576023823,3.8830706713109553,0.16882915962221545,10.320822321047356,,,,,,,,
NGC4559,16,67.0,66.91474567844156,1.0,1.0006331125733663,ok,0,32,18124945.184677843,6.9994966977696444,7.384634433528426,0.2461544811176142,14.31610623912788,,,,,,,,
