null_type,realization,rho_per_T,p_per_T,rho_per_gal,p_per_gal,n_shellbearing,n_total,frac_T2,n_T2,frac_T3,n_T3,frac_T4,n_T4,frac_T5,n_T5,frac_T6,n_T6,frac_T7,n_T7,frac_T8,n_T8,frac_T9,n_T9
scramble,32,-0.19047619047619052,0.6514014957024814,-0.16692080193234562,0.0952404281135279,31,101,0.8888888888888888,9,0.1,10,0.29411764705882354,17,0.23076923076923078,13,0.3125,16,0.21428571428571427,14,0.5,6,0.1875,16
scramble,33,-0.1666666666666667,0.693238811728395,-0.12227763474304709,0.22316470127839666,34,101,0.8888888888888888,9,0.1,10,0.29411764705882354,17,0.3076923076923077,13,0.3125,16,0.2857142857142857,14,0.5,6,0.25,16
scramble,34,-0.7784570702436182,0.022867333969736853,-0.2890247764584652,0.003375029747971895,27,101,0.8888888888888888,9,0.2,10,0.23529411764705882,17,0.38461538461538464,13,0.1875,16,0.07142857142857142,14,0.16666666666666666,6,0.1875,16
scramble,35,-0.4761904761904762,0.23293553465009798,-0.15427480747046604,0.12346741150355839,33,101,0.6666666666666666,9,0.3,10,0.35294117647058826,17,0.23076923076923078,13,0.375,16,0.21428571428571427,14,0.3333333333333333,6,0.25,16
scramble,36,-0.09523809523809526,0.8225054302036114,-0.12172085008740567,0.22529524282318814,36,101,0.8888888888888888,9,0.1,10,0.35294117647058826,17,0.3076923076923077,13,0.3125,16,0.35714285714285715,14,0.5,6,0.25,16
scramble,37,-0.4285714285714286,0.2894032248467901,-0.23076728693346574,0.02024662806327459,34,101,0.8888888888888888,9,0.1,10,0.4117647058823529,17,0.38461538461538464,13,0.3125,16,0.21428571428571427,14,0.3333333333333333,6,0.1875,16
scramble,38,-0.07142857142857144,0.8665262706759088,-0.12064143712145446,0.2294662826052338,33,101,0.8888888888888888,9,0.0,10,0.29411764705882354,17,0.46153846153846156,13,0.25,16,0.21428571428571427,14,0.3333333333333333,6,0.3125,16
scramble,39,-0.3333333333333334,0.4197530864197532,-0.18831481433721498,0.0593093230279334,34,101,0.8888888888888888,9,0.2,10,0.35294117647058826,17,0.38461538461538464,13,0.1875,16,0.21428571428571427,14,0.3333333333333333,6,0.3125,16
scramble,40,-0.38095238095238104,0.35181255311756476,-0.15516352190876953,0.12129431596709195,37,101,0.8888888888888888,9,0.1,10,0.35294117647058826,17,0.38461538461538464,13,0.4375,16,0.2857142857142857,14,0.3333333333333333,6,0.25,16
scramble,41,-0.11904761904761905,0.7788857260523796,-0.15145472336836951,0.1305615579644855,40,101,0.8888888888888888,9,0.2,10,0.35294117647058826,17,0.46153846153846156,13,0.375,16,0.35714285714285715,14,0.5,6,0.25,16
scramble,42,-0.4047619047619048,0.3198886412288163,-0.16110169087807982,0.10752220117837832,34,101,0.7777777777777778,9,0.0,10,0.35294117647058826,17,0.5384615384615384,13,0.375,16,0.21428571428571427,14,0.3333333333333333,6,0.1875,16
scramble,43,-0.3571428571428572,0.38512064355625614,-0.21044109947259335,0.034660966001443694,32,101,0.8888888888888888,9,0.2,10,0.29411764705882354,17,0.3076923076923077,13,0.25,16,0.2857142857142857,14,0.3333333333333333,6,0.1875,16
scramble,44,-0.22754898976351917,0.5878445645010818,-0.18403052120344635,0.06544142734526076,27,101,0.7777777777777778,9,0.1,10,0.23529411764705882,17,0.38461538461538464,13,0.1875,16,0.14285714285714285,14,0.3333333333333333,6,0.1875,16
